,ds,RSI_14_SPY,BBP_5_2.0_SPY,ZSCORE_20_SPY,KC_CHANNEL_20_2_SPY,OBV_MA_Ratio_SPY,CCI_14_SPY,SPY,y,unique_id
211,2024-08-15,0.587968,0.813356,0.193645,0.853808,0.018314,0.371817,553.07,3.6584954668471275,0
212,2024-08-14,0.529848,0.599682,-0.047167,0.638538,0.015216,0.183029,543.75,3.6568247498956,0
213,2024-08-13,0.518271,0.542592,-0.096173,0.601421,0.014651,0.118301,542.04,3.6556391926645433,0
214,2024-08-12,0.454275,0.343097,-0.327655,0.384853,0.009669,-0.064064,533.27,3.6364085171857927,0
215,2024-08-09,0.452117,0.318247,-0.350396,0.372305,0.003396,-0.121942,532.99,3.629815223382191,0
216,2024-08-08,0.434774,0.254646,-0.43284,0.30982,-0.005276,-0.241775,530.65,3.6109549699430414,0
217,2024-08-07,0.334548,0.006661,-0.794433,-0.001721,-0.015608,-0.417453,518.66,3.5037578029598393,0
218,2024-08-06,0.351389,-0.007537,-0.80664,0.013866,-0.011976,-0.532787,522.15,3.5421231048275117,0
219,2024-08-05,0.307123,-0.213088,-1.090501,-0.171126,-0.024647,-0.869921,517.38,3.5085937653801342,0
220,2024-08-02,0.386899,-0.03429,-0.733967,0.096488,-0.010626,-0.543371,532.9,3.6164357273527092,0
221,2024-08-01,0.459022,0.193657,-0.340436,0.338792,-0.002574,-0.180997,543.01,3.562597859132449,0
222,2024-07-31,0.529771,0.440467,0.026493,0.576137,0.004758,-0.038355,550.81,3.46959083749221,0
223,2024-07-30,0.4391,0.135394,-0.397506,0.258802,-0.003946,-0.320852,542.0,3.369850871361058,0
224,2024-07-29,0.465194,0.217913,-0.265273,0.331364,0.000249,-0.311075,544.76,3.4167743266236457,0
225,2024-07-26,0.46175,0.208662,-0.27412,0.307745,-0.006179,-0.399837,544.44,3.4099236494816982,0
226,2024-07-25,0.393406,-0.018842,-0.552675,0.045102,-0.015877,-0.656972,538.41,3.375301947796587,0
227,2024-07-24,0.416364,0.030808,-0.41061,0.082515,-0.013708,-0.723046,541.23,3.412943840479761,0
228,2024-07-23,0.548686,0.524925,0.18178,0.566834,-0.008497,-0.125481,553.78,3.440223076290734,0
229,2024-07-22,0.560145,0.578919,0.235106,0.611265,-0.006104,-0.134263,554.65,3.42664031487,0
230,2024-07-19,0.496638,0.381445,0.022619,0.360756,-0.011142,-0.247247,548.99,3.3941523109698086,0
231,2024-07-18,0.543922,0.523775,0.182444,0.517722,-0.005148,-0.036384,552.66,3.424509894757333,0
232,2024-07-17,0.606447,0.69076,0.352738,0.741059,0.00151,0.145507,556.94,3.4932188742648496,0
233,2024-07-16,0.755717,1.006478,0.641451,1.22642,0.009668,0.394451,564.86,3.393695999490721,0
234,2024-07-15,0.729746,0.959201,0.574508,1.105873,0.008374,0.376927,561.53,3.376369080956188,0
235,2024-07-12,0.716818,0.962323,0.548877,1.094217,0.006762,0.380969,559.99,3.3673170192821393,0
236,2024-07-11,0.684917,0.870934,0.468933,0.993825,0.003509,0.370921,556.48,3.353750331941685,0
237,2024-07-10,0.800364,1.11372,0.667893,1.378363,0.01259,0.550384,561.32,3.279929641523234,0
238,2024-07-09,0.757175,0.962062,0.544854,1.160762,0.012385,0.537691,555.82,3.302415254121958,0
239,2024-07-08,0.752289,0.976785,0.566749,1.160056,0.011584,0.669535,555.28,3.2923186684167325,0
240,2024-07-05,0.74668,1.003889,0.595575,1.156081,0.009879,0.741645,554.64,3.2845062283300663,0
241,2024-07-03,0.717126,0.919286,0.53149,1.033688,0.007562,0.643649,551.46,3.250608183208261,0
242,2024-07-02,0.691367,0.821701,0.479212,0.934939,0.006145,0.331607,549.01,3.2237280927405796,0
243,2024-07-01,0.646603,0.687829,0.365292,0.778336,0.002537,0.060058,545.34,3.190227290335045,0
244,2024-06-28,0.631456,0.663962,0.344042,0.736978,-0.002652,0.188147,544.22,3.1837100033795944,0
245,2024-06-27,0.683692,0.751333,0.458729,0.913518,0.003833,0.219158,546.37,3.1568781729679776,0
